CustomerID,SimilarCustomerID,SimilarityScore
C0001,C0107,0.994632640008671
C0001,C0048,0.9819853750873861
C0001,C0190,0.9645645406703428
C0002,C0159,0.945641892687356
C0002,C0178,0.9435941044735148
C0002,C0128,0.8884430683629866
C0003,C0133,0.9480793412710703
C0003,C0031,0.8988952378262751
C0003,C0076,0.8950732451862412
C0004,C0169,0.9453568481820108
C0004,C0153,0.9196770199737928
C0004,C0082,0.9120589265340399
C0005,C0186,0.9974522198413518
C0005,C0007,0.9866014226650415
C0005,C0140,0.9858906900154507
C0006,C0187,0.8966391497366636
C0006,C0011,0.8729463402052112
C0006,C0137,0.8052799314391329
C0007,C0005,0.9866014226650415
C0007,C0115,0.9824891708444753
C0007,C0140,0.9770100375729348
C0008,C0122,0.8873151009255871
C0008,C0194,0.8803266103551243
C0008,C0065,0.877873136422503
C0009,C0061,0.9675742876925902
C0009,C0167,0.9346292232407126
C0009,C0062,0.9270887276066541
C0010,C0167,0.8960875828003457
C0010,C0111,0.8898810981388352
C0010,C0062,0.8798257718464788
C0011,C0137,0.9278074276715227
C0011,C0174,0.8902621960614556
C0011,C0191,0.8788426901588383
C0012,C0163,0.9656272995536173
C0012,C0113,0.9603729996597477
C0012,C0195,0.9431363133086033
C0013,C0099,0.986055964481909
C0013,C0108,0.9645029726359434
C0013,C0145,0.896241268184065
C0014,C0060,0.9994801538718718
C0014,C0097,0.954631926488553
C0014,C0128,0.9508129387569119
C0015,C0131,0.9851467246540206
C0015,C0058,0.9527468267977457
C0015,C0033,0.9507412241088534
C0016,C0183,0.9762922704797871
C0016,C0026,0.9185274013497347
C0016,C0055,0.9055099236628382
C0017,C0075,0.9397190434425136
C0017,C0041,0.9329072806379738
C0017,C0057,0.8987332799887161
C0018,C0046,0.7924935524659025
C0018,C0068,0.773320027459392
C0018,C0059,0.7727736944425282
C0019,C0172,0.8079992034753255
C0019,C0121,0.7536887885109124
C0019,C0119,0.7458827648740544
C0020,C0015,0.94264811110894
C0020,C0140,0.9389564640928115
C0020,C0186,0.9192983224369844
